match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2
2748,1.39,1,0.8450011652708053,0.6079145073890686,0.3011733554303646,2019-01-04,Anderson K.,Simon G.
2714,1.33,1,0.8056725532561541,0.6057688370347023,0.16637751832604408,2019-01-02,Anderson K.,Djere L.
2740,1.08,1,0.8004892086982729,0.7411937117576599,0.17392756342887877,2019-01-03,Djokovic N.,Basilashvili N.
2742,1.5,1,0.7939755231142044,0.5293170154094696,0.20900969505310057,2019-01-03,Berdych T.,Herbert P.H.
2827,3.54,0,0.784423972606659,0.16811746805906297,0.5942605853080749,2019-01-10,Seppi A.,Tsitsipas S.
2807,1.57,1,0.7723474620580674,0.4919410586357117,0.15171899124979973,2019-01-09,Norrie C.,Sousa J.
2690,1.36,1,0.7644559907913209,0.5620999932289124,0.07080600410699844,2019-01-01,Thompson J.,Bolt A.
2774,1.6,1,0.7529594977696736,0.470599686106046,0.23693858087062836,2019-01-06,Andreozzi G.,O'Connell C.
2708,2.92,0,0.7527942202985286,0.3321496248245239,0.5338966101408005,2019-01-01,Wawrinka S.,Khachanov K.
2636,2.41,0,0.7428562298417092,0.15433330461382866,0.4792620837688446,2018-12-29,Uchiyama Y.,Fratangelo B.
2722,1.21,1,0.7418058353066443,0.6130626738071442,0.21697576344013214,2019-01-02,Raonic M.,Kecmanovic M.
2804,1.48,1,0.7401815109252929,0.5001226425170898,0.16216486245393752,2019-01-08,Thompson J.,Daniel T.
2833,1.8,1,0.7132730841636657,0.3962628245353699,0.10024470649659634,2019-01-12,Norrie C.,Sandgren T.
2809,1.59,1,0.7056226229667665,0.4437878131866455,0.3426573798060417,2019-01-09,Kohlschreiber P.,Humbert U.
2682,2.11,0,0.6911244189739228,0.3649721344312032,0.39719794193903607,2018-12-31,Marterer M.,Gojowczyk P.
2658,1.25,1,0.6548250590761503,0.5238600472609202,0.33680008351802826,2018-12-29,Marterer M.,Arnaboldi A.
2787,1.8,1,0.6447579726576805,0.3581988736987114,0.1867096796631813,2019-01-07,Berrettini M.,McDonald M.
2829,2.67,0,0.6378484033048153,0.20871820114552975,0.42523226886987686,2019-01-11,Seppi A.,Schwartzman D.
2832,2.89,0,0.593138524889946,0.23559967428445816,0.4119017533957958,2019-01-12,Simon G.,de Minaur A.
2679,1.35,1,0.5450627982616425,0.40375022093455,0.17460421224435171,2018-12-31,Dimitrov G.,Nishioka Y.
2757,,1,,0.7295500487089157,0.3316646106541157,2019-01-05,Klahn B.,Oswald P.
